Name,Organization Type,Aid Type,Support Region,Contact,Online Info,For the Tenant,Description,Last Updated,Languages / Communication Needs Served,Upcoming Happenings
KC Public Library Technology Programs,Government-Run,Accessibility,KC Metro Area,"Library Card Application: https://kclibrary.org/services/library-cards
Computer Session Info: https://kclibrary.org/computers
Tech Coaches: https://techaccess.kclibrary.org/
Hotspot Lending: https://www.kclibrary.org/internettogo
Community Connections Rooms: https://kclibrary.org/communityconnections",https://kclibrary.org,"Computer Session at the library, Tech Coach, Wi-Fi Hotspot Lending, Community Connections Rooms","All programs listed are offered through the Kansas City Public Library. Many of the technology programs offered at the Library require a library card. If you don’t have a permanent address, you can apply for a card that’s good for 30 days. To apply for a library card, visit a library branch or this link: https://kclibrary.org/services/library-cards.
• Computer Session at the library:
Requires a library card
 We are offering public computer use by appointment (online, phone, on site). This reservation system provides access to key technical resources while adhering to social distancing guidelines that protect Library guests and our staff. https://kclibrary.org/computers
• Tech Coach: One-on-one assistance with technology https://techaccess.kclibrary.org/ 
Does not require a library card to make an appointment, but you do need a library card to access library computers.
- Can help with basic digital literacy and tech skills
- Can help with specialized technology assistance such as software, programming/coding, operating systems, and more.
• Wi-Fi Hotspot Lending: Free Internet to Go Kit for individuals. https://www.kclibrary.org/internettogo
Requires a library card
- Currently this program is backed up, with 165 holds on 15 hotspots. There will be more hotspots & a new chromebook program coming, but not until late Spring. People who visit the library can still put holds on hotspots, though the service is a couple months out.
• Community Connections Rooms:
Requires a library card
You can use a Community Connections Room to attend a virtual job interview, make a telehealth appointment, join a Zoom study group, or video-chat with family members. A webcam-enabled computer is available for you to use with your Library card for the duration of your appointment. https://kclibrary.org/communityconnections
• Accessibility at the Kansas City Public Library: 
• Virtual library programming currently does not have a standard for captioning or solid solutions for people who visit the library who are D(d)eaf or HoH. 
• ASL experienced staff members are available at the Central Library in the OneNorth Computer Lab, Monday-Friday, 9-5
• Unable to gain clarity on which specific languages translation services are offered for – seems like library staff who are bilingual/multilingual are asked to be translators for library services.
• Adaptive technologies are available at multiple library branches including:
    ◦ Screen magnifiers, screen readers, dictation, video chat, microphone, high visibility keyboards, trackballs","June 30, 2023",,
KC Tenants Organizing Toolkit,KC Tenants!,Interested in Organizing,No Limit,"http://bit.ly/KCTorganize for 19-page Google Doc version
https://bit.ly/KCTorgtool2023 for 16-page illustrated zine version",,Organizing Toolkit http://bit.ly/KCTorganize for 19-page Google Doc version https://bit.ly/KCTorgtool2023 for 16-page illustrated zine version,,"August 14, 2023",,
KC Veterans Affairs Medical Center Homeless Program,Government-Run,Houselessness,KC Metro Area,"Email mailto:corrie.jones2@va.gov
Call (816) 861-4700 or (816) 308-9861",https://www.va.gov/kansas-city-health-care/health-services/homeless-veteran-care/,KC VA Medical Center Homeless Program: For veterans. Applications are being completed over the phone: (816) 308-9861,"• For veterans who are “literally homeless: living in a shelter, transitional housing, emergency housing, hotel/motel with inability to afford to continue living there, street, shelter, place not meant for human habitation, eviction (documentation of eviction from court within the next 14 days), automobile.”
• Income cannot be over HUD Standard for Poverty, approximately $2,430 per month. More info: https://docs.google.com/presentation/d/1KYCCuNYyfcaVzaDop5kgkVyQBWlb0cIS/edit (This slideshow is incomplete, but provides valuable clarification)","June 26, 2023",,
KCMO Mutual Aid Collective,Mutual Aid,"Houselessness, Inability to Pay Rent, Utility Issues",KCMO Residents Only,"mailto:kcmocollective@gmail.com (emailing is preferred way to get connected)
Or call (816) 226-7575
Or reach out on Facebook",https://www.facebook.com/share/irqBRCkqUj6bezdU/?mibextid=LQQJ4d,"KCMO Mutual Aid Collective: A solidarity fund for important and crucial supplies such as
medicine and groceries, $35 or less: mailto:kcmocollective@gmail.com (works best) or
or (816) 226-7575 or https://www.facebook.com/share/irqBRCkqUj6bezdU/?mibextid=LQQJ4d","KCMO Mutual Aid Collective has a solidarity fund for important and crucial supplies such as medicine and groceries, $35 or less.
It is also a platform where tenants can ask community members for advice on questions like which landlords accept housing vouchers, etc. They cannot provide for gas. Larger amounts are referred to other resources. Their typical response time is within 24 hours.","June 26, 2023",,
KCMO Shelter Card,Government-Run,Houselessness,,https://www.kcmo.gov/home/showpublisheddocument/7463,https://www.kcmo.gov/home/showpublisheddocument/7463,https://www.kcmo.gov/home/showpublisheddocument/7463 lists contact information for several shelters along with eligibilty information.,Card listing several shelters in KCMO along with contact info and who each shelter accepts.,"June 26, 2023",,
KCT New Member Form,KC Tenants!,Interested in Organizing,No Limit,,https://actionnetwork.org/forms/kc-tenants-new-member-form/,We’re excited you want to join our tenant union! Sign up here: https://actionnetwork.org/forms/kc-tenants-new-member-form/,"This form is THE official way to sign up as a KC Tenants member.
(For Hotline team members: you should fill out this form for the tenant! Copy and paste info you already have from Airtable, make sure to ask the other questions, and especially make sure they agree to the Community Agreements.)","June 26, 2023",,
Lawrence Renters Together,Power-Building Organization,Interested in Organizing,Lawrence KS Residents Only,Email mailto:renterstogetherlfk@gmail.com,,Lawrence Renters Together: email mailto:renterstogetherlfk@gmail.com to get involved with other tenants organizing together.,"Tenants in Lawrence KS organizing for safe, accessible, and truly affordable homes. 
No eligibility requirements (not direct service). Does not work with police.
Email if interested in joining!","June 27, 2023",,
Legal Aid of Western Missouri,Legal Assistance,Eviction/Illegal Lockout,Missouri Residents Only,"For KCMO residents, Legal Aid is currently only accepting referrals through 211. Tenants must have an eviction case that has been filed with the county. Call 211 or visit https://www.unitedwaygkc.org/get-help

JOPLIN
(417) 782-1650
(800) 326-2996 (deaf or hard of hearing)
1027 South Main, Ste. LL7 Joplin, MO 64801

ST. JOSEPH
(816) 364-2325
Phone Intake Hours: M-F 8:30 to 11:30 a.m.; 1:00 to 5:00 p.m.
706 Felix Street St. Joseph, MO 64501

WARRENSBURG
(660) 747-7101
Domestic Violence: 877-537-7811
305 North Holden Warrensburg, MO 64093",https://lawmo.org/,LEGAL AID OF WESTERN MISSOURI: They provide legal services for Kansas City residents who classify as low-income status. You must be referred by 211. Contact info: Call 211 or visit https://www.unitedwaygkc.org/get-help,"Legal Aid provides free civil (non-criminal) legal assistance to people who need it most and can afford it least — they only serve people who are classified as “low-income” (this info is on their website). ","May 15, 2024",,
LGBTQ Hotline,Non-Profit,"LGBTQ+, Mental Health",No Limit,888-843-4564,https://www.lgbthotline.org/,LGBTQ Hotline: 888-843-4564,"All of our support volunteers identify as part of the LGBTQIA+ family, and are here to serve the entire community, by providing free & confidential peer-support, information, and local resources through national hotlines and online programs.","July 10, 2023",,
Low Income Housing Databases,Non-Profit,Seeking Housing,No Limit,"https://www.lowincomehousing.us/MO.html - Missouri
https://www.lowincomehousing.us/KS.html - Kansas
Website has more links to all 50 states",https://www.lowincomehousing.us/MO.html  https://www.lowincomehousing.us/KS.html,"AFFORDABLE HOUSING: KC Tenants does not endorse any of the homes you may find on this website. Many of the landlords listed still create problems for tenants such as unhealthy conditions, poor communication, etc. https://www.lowincomehousing.us/MO.html and https://www.lowincomehousing.us/KS.html.","These databases allow people to search for affordable housing in cities. They can be used as starting points for finding housing.
 
IMPORTANT: KC Tenants does not endorse any of the homes listed on this website. Many of the landlords listed still create problems for tenants such as unhealthy conditions, poor communication, etc.","July 10, 2023",,
Low Income Moving Tips,Mutual Aid,Seeking Housing,No Limit,N/A,https://www.moving.com/tips/how-to-get-low-income-moving-assistance/,"For tips on moving with low income, visit this link that also has links to other organizations that can help: https://www.moving.com/tips/how-to-get-low-income-moving-assistance/ ","This is a link to a website with tips on moving with low income as well as links to different resources that offer help: 
1. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#1
2. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#2
3. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#3
4. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#3
5. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#5
6. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#6
7. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#7
8. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#8
9. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#9
10. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#10
11. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#11
12. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#12
13. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#13
14. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#14
15. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#15
16. https://www.moving.com/tips/how-to-get-low-income-moving-assistance/#16","September 8, 2023",,
Metro Lutheran Ministry,Non-Profit,"Houselessness, Inability to Pay Rent, Seeking Housing, Unhealthy Living Conditions, Utility Issues",KC Metro Area,"Central Office
3031 Holmes Street
Kansas City, MO 64109
Email
Phone: (816) 931-0027

Northland Office
1100 Northeast Vivion Rd.
Kansas City, MO 64118
Email
Phone (816) 454-5295

Wyandotte Office
722 Reynolds Ave.
Kansas City, KS 66101
Email
Phone (913) 342-8333",https://mlmkc.org/program/rent-utility-assistance/,"Metro Lutheran Ministry: A limited number of applications for 1 month rent/utility assistance or
water fund are distributed. Assistance is limited to ONE month of rent/utility and KC Water
Funds assistance only. Applications for more than one month of assistance are served in limited
capacity currently, through the online application. 816.931.0027 
https://mlmkc.org/program/rent-utility-assistance/","Metro Lutheran Ministry is a religious organization which “connects those in need with food, housing, health care, education, employment services.” Multiple services are provided, including rent & utility assistance, emergency medical/hygiene items, food pantry, employment assistance, minor housing repairs, and limited housing.

Offices available in Central, Northland, and Wyandotte areas.","March 11, 2025",,
MOCSA,Non-Profit,"Domestic Abuse/Violence, Sexual Violence",KC Metro Area,"24 Hour Crisis Line
tel:+1-816-531-0233 or tel:+1-913-642-0233
Relay services available: 711
Office Phone (Mon-Fri 8:30-5:00): tel:+1-816-931-4527
Fax: 816.931.4532",https://mocsa.org/,"Sexual Assault services--crisis hotline, counseling, etc:
24-hour Crisis Line in Kansas: (913) 642-0233
24-hour Crisis Line in Missouri: (816) 531-0233",MOCSA exists to improve the lives of those impacted by sexual abuse and assault and to prevent sexual violence in our community.,"June 30, 2023",,
National Immigration Legal Services Directory,Legal Assistance,Immigration,No Limit,mailto:directory@immigrationadvocates.org.,https://www.immigrationadvocates.org/legaldirectory/,"A nationwide directory of legal offices offering free or low-cost immigration services. 

https://www.immigrationadvocates.org/legaldirectory/","A nationwide directory of legal offices offering free or low-cost immigration services. We have many of the regional MO ones already, likely for use if they need more immigration-specific resources, general MO resources or KS resources","June 30, 2023",,
New Unit Inspection Checklist,,Seeking Housing,No Limit,,https://docs.google.com/document/d/e/2PACX-1vS_JdsimTtUa7v-rdMQUyFbs9l0qBZTBKVeC07h_Pw8izDBvkhVWl0dmkvI2LHCJJzlUA_w4-uZ4xe5/pub,"When conducting a walkthrough of a new unit with your landlord, you may reference this checklist to better determine that your unit is safe and that everything is in working condition prior to signing a lease. This guide is here to help you look for things you otherwise may not check for in a  landlord-guided walkthrough. https://docs.google.com/document/d/e/2PACX-1vS_JdsimTtUa7v-rdMQUyFbs9l0qBZTBKVeC07h_Pw8izDBvkhVWl0dmkvI2LHCJJzlUA_w4-uZ4xe5/pub","Modified from a HUD Inspection Checklist, this document walks tenants through important housing safety considerations and livable conditions. It is meant as a guide for tenants conducting walkthroughs of new units prior to signing a lease.","January 8, 2025",English,
Office of the Tenant Advocate,Government-Run,"Eviction/Illegal Lockout, Landlord Harassment, Unhealthy Living Conditions",KCMO Residents Only,"Tenant Advocates
Tiffany Drummer
(816) 513-3026

Taylor Matzek
(816) 513-3008",https://www.cognitoforms.com/KansasCity2/RentalPropertyTenantComplaintForm,"Office of the Tenant Advocate: This is a complaint form tenants can fill out; the OTA is supposed to follow up on these complaints.
https://www.cognitoforms.com/KansasCity2/RentalPropertyTenantComplaintForm
CAUTION! There is a chance the OTA will reach out to your landlord without getting consent from you, meaning your landlord might retaliate against you. Be aware of this risk when considering whether to submit this form.","The Office of the Tenant Advocate was campaigned and created by KC Tenants fighting for its approval in City Council, insuring the rights of tenants across Kansas City. The legislation provides protection for property owners, landlords and tenants.

HOWEVER, the City has failed to properly implement this policy, making it barely effective and sometimes even harmful to tenants since staff will contact their landlords without their consent. Tenants should be aware of this risk so they can decide whether they want to contact the OTA.","June 27, 2023",,
Reconciliation Services,Non-Profit,"Inability to Pay Rent, Unhealthy Living Conditions, Utility Issues",KCMO Residents Only,"Office (Walk-ins Welcome)
1006 Linwood Blvd
Kansas City, MO 64109

Email
mailto:info@RS3101.org

Fax
(816) 931-0142

Phone
(816) 931-4751",https://www.rs3101.org/,"Reconciliation Services: Rental assistance and limited KCMO water funds provided on a first come, first served basis. Call 816-931-4751 to ask about availability","Reconciliation Services is a non-profit serving the KCMO area, primarily focused on the Troost Avenue corridor. Services include affordable food access, providing safe environments for children and elderly, rental assistance, and increasing access to social and mental health services.

For rental assistance, tenants require a Missouri ID and a lease with their name on it at a minimum. Applicants will also be required towards a personal goal for at least 30 days before any rental assistance is provided. This will be determined via Reconciliation Services case management system.

Qualified clients may be eligible for vouchers to help pay for prescriptions, medical supplies, vision care, and dentistry needs. A Photo ID, Social Security Card, recent proof of address (within 30 days), and proof of income are required. In order to qualify for assistance you must also be at or below 200% of the federal poverty level.","June 27, 2023",,
Relay Services 711,Government-Run,Accessibility,No Limit,,https://www.fcc.gov/consumers/guides/711-telecommunications-relay-service,,"Dialing 711 allows people with with a hearing or speech disability to use the telephone system via a text telephone (TTY) or other device. This allows them to use the phone using a text-based interface, have messages relayed by others in case of a speech disability, etc.","June 12, 2023",,
Rental Ready Program - Independence MO,,Unhealthy Living Conditions,Independence,no contact info,https://www.independencemo.gov/government/city-departments/community-development/business-license-liquor-license-and-employee-permitting/rental-ready-program,"If you need to report your landlord for basic health & safety concerns you can fill out a “https://www.independencemo.gov/sites/default/files/2023-08/Landlord%20Tenant%20Complaint%20Form.pdf” (https://www.independencemo.gov/sites/default/files/2023-08/Landlord%20Tenant%20Complaint%20Form.pdf) and file it at Independence City Hall, 311 E Maple Ave., Independence MO 64050 
For more information about the program you can follow this link https://www.independencemo.gov/government/city-departments/community-development/business-license-liquor-license-and-employee-permitting/rental-ready-program","** March 10, 2025: East Jackson County Tenant Union showed up at a Independence City Council meeting to continue to demand a more accountable and transparent inspection process. Please flag any callers who are referred to the Indp LL Complaint form. **

Rental Ready is a program with goals to protect the health, safety and welfare of residents, maintain attractive and desirable neighborhoods, and ensure minimum standards for the interior of residential buildings. In September of 2016, the Independence City Council adopted a new program called “Rental Ready” which would establish an interior residential rental dwelling unit inspection.The program began on June 1st, 2017, and applies to all residential rental units in the city and would require all properties to be licensed and pass a basic health and safety inspection every two years.","March 11, 2025",,
Research Hospital Behavioral Health Crisis Line,,Mental Health,,844-207-4511,,"Research Psychiatric Center

Call 1-844-207-4511 to reach their Behavioral Health Crisis Line for admissions, psychiatric evaluations or to speak with someone about emotional or mental distress.","Research Psychiatric Center has provided comprehensive https://researchpsychiatriccenter.com/services for more than 25 years to teenagers, adults and seniors dealing with emotional disorders, mental illness and substance abuse. Our mental health programs offer a complete range of acute inpatient, day treatment and community based outpatient behavioral healthcare. Our 100 bed facility is fully accredited by the Joint Commission on Accreditation of Healthcare Organizations and from the State of Missouri. All hospital based services include full psychiatric, psychosocial and medical evaluations. Call 1-844-207-4511 to reach our Behavioral Health Crisis Line for admissions, psychiatric evaluations or to speak with someone about emotional or mental distress.","June 30, 2023",,
Rose Brooks,Non-Profit,"Domestic Abuse/Violence, Houselessness, Sexual Violence",KC Metro Area,816-861-6100,,"Domestic Violence hotline and shelter 816-861-6100.

","Rose Brooks is open for DV shelters in KC and has a hotline to provide support and advice

• Therapy
• Landlord assistance for tenants (ex: tenant is experiencing DV and needs to change their lease)
• Housing resources to residential clients
• Legal support and court advocacy in both DV and Order of Protection courts
• Bridge program (hospital-based)
• Temporary emergency shelter and other resources

Calling their hotline is the easiest way to get connected, although outreach takes a while due to overwhelming need. Calling the hotline will screen-in clients for shelter space. Only requirement is that the caller needs to be a victim of intimate partner violence, which is different from family violence. To access shelter, the client needs to meet the definition of fleeing intimate partner violence and go through screening.

Accessibility:
• There are different translation options for languages other than English (specific languages weren’t specified), language line is available and many staff are bilingual.
• A video phone is available to people who are D(d)eaf and HoH, if they were coming in for therapy they could arrange for an interpreter.
• Safe resource for queer folks of all genders

Relationship with Police: 
Rose Brooks does refer people to the police, generally don’t do that without the survivors consent – if someone shows up with a signed warrant their limits of confidentiality often don’t extend to a warrant.","June 30, 2023",,
Safe Haven,Non-Profit,"Domestic Abuse/Violence, Houselessness, Sexual Violence","KC Metro Area, KCMO Northland",816-321-7050,,"To access benefits call the hotline, 816-321-7050. If the caller is a client they are assigned a case manager, if the shelter is full Safe Haven refers the caller to other shelters in the area.

Eligibility Requirements:
• Safe Haven prioritizes serving Clay County residents but does offer services to almost anyone fleeing from domestic violence.
Accessibility:
• Safe Haven uses a system for translation and interpreters, didn’t get a solid answer on if they have ASL interpreters
• Safe Haven has a nondiscrimination policy, is safe for queer folks.
Relationship with Police:
• Generally waits for the consent of the survivor before involving the police. Note: Safe Haven does work with the police, often using them as escorts and for other services.","Safe Haven is currently providing shelter to survivors of domestic abuse. They offer other resources including housing programs, SNAP benefits, independent living, clothing closet vouchers and more. 
","June 29, 2023",,
SafeHome,Non-Profit,"Domestic Abuse/Violence, Houselessness, Sexual Violence",KC Metro Area,(913) 262-2868,,"Eligibility Requirements:
• SafeHome requires that the person seeking services is currently struggling with domestic abuse or is still suffering repercussions from past DV.
Accessibility:
• SafeHome uses language hotlines/videophone to assist clients that communicate in a different language than staff when their Spanish-speaking and ASL communicating staff are not in office.
• Shelter program and outreach are safe for people of all gender identities and sexual orientations.
Relationship with Police:SafeHome does work with the police and legal system, but doesn’t involve police or legal systems without client consent or request unless there is a dire emergency. Was told these decisions are extremely rare and they try to not involve the police if possible.","Safehome is a nonprofit organization and domestic violence shelter (sometimes known as “women’s shelter”) near you in Johnson County.
We are dedicated to ending domestic violence. By providing shelter, individual and group counseling, court and legal support, and community programs and engagement

Resources include:
• 24/7 Hotline
• Domestic Violence Shelter
• Case Management
• Therapy (Individual and Group Counseling)
• Legal and Court Assistance
• Housing Resources","June 29, 2023",,
Self-Help Law Clinic,Legal Assistance,"Eviction/Illegal Lockout, Landlord Harassment, Lease Dispute",KCMO Residents Only,"Office
Leon E. Bloch Law Library
500 E. 52nd Street 
Kansas City, MO 64112

Hours
10 AM - 2PM, MON - FRI

Email
umkclawprose@umkc.edu

Phone
816-235-2271",https://info.umkc.edu/selfhelpclinic/,"UMKC SELF-HELP LAW CLINIC: For tenants who need legal advice in civil cases. A lawyer will meet with you to consult, but cannot represent you in court. Their website: https://info.umkc.edu/selfhelpclinic/
Phone: 816-235-2271
Email: mailto:umkclawprose@umkc.edu","UMKC-LAWMO Self-Help Law Clinic is a volunteer-based legal assistance clinic helping individuals represent themselves on legal issues. The clinical generally assists with civil matters in Jackson, Clay, and Platte counties. Clinic attorneys can provide assistance, but are NOT able to represent you.

Currently, the clinic only offers appointments virtually via Zoom.","November 8, 2023",,
Slumlord Masterlist,KC Tenants!,Seeking Housing,No Limit,https://docs.google.com/document/d/1FeBvOtw0pDjyqPP85V9CLJjF88v_dxSngzzECs844GU/edit,https://docs.google.com/document/d/1FeBvOtw0pDjyqPP85V9CLJjF88v_dxSngzzECs844GU/edit,"SLUMLORD LIST: This list does not cover every slumlord in Kansas City, but this could be a useful list of landlords to avoid. We know that sometimes there’s no other option, though -- there’s no shame in renting from these landlords. https://docs.google.com/document/d/1FeBvOtw0pDjyqPP85V9CLJjF88v_dxSngzzECs844GU/edit?usp=sharing","This is a compiled list of all KC Tenants “Slumlord Saturday” Facebook posts. These are notorious landlords who are well-known for subjecting their tenants to unhealthy living conditions and disrespectful treatment.

If you want to add a slumlord to this list, fill out this form: https://bit.ly/SlumlordSat.

IMPORTANT: This list does not cover every slumlord in Kansas City, but this could be a useful list of landlords to avoid as you look for housing. We know that sometimes there’s no other option, though — there’s no shame in renting from these landlords.","June 29, 2023",,
Source of Income (SOI) Discrimination Report,Government-Run,Seeking Housing,KCMO Residents Only,mailto:CREOcivilrights@kcmo.org for email or call 311,https://www.kcmo.gov/programs-initiatives/faq,"Here's a city website with some information explaining the recent law banning “source of income discrimination” that was passed in Kansas City, MO: https://www.kcmo.gov/city-hall/departments/civil-rights-and-equal-opportunity-creo/civil-rights-division/source-of-income. If you think you've been discriminated against based on this law while applying to properties in Kansas City, MO, you can report the landlord using the following methods:

To file a report of source of income discrimination, call 311, email CREOcivilrights@kcmo.org, or fill out a “Discrimination Report” here: https://www.kcmo.gov/talk-to-us/mykcmo","** KCMO is currently enjoined (prevented) from enforcing the SOI discrimination ban. (This means that, until further notice, landlords are allowed to discriminate again. >_<)

When should we inform callers about the ban on source of income discrimination?
• If they live or are applying for places in KCMO, and…
    ◦ They’re on a voucher, Section 8, SSI, etc and say that they’ve had rental 
      applications rejected as a result
    ◦ They’re having trouble applying to places because of credit score, past 
      convictions, or evictions from more than a year ago
    ◦ Landlords have been denying their application without explaining why, and 
      they fall into one of these categories
    ◦ They’ve been searching for housing and have seen language like “No 
      vouchers,” etc in rental listings
    ◦ They’re on a voucher and are looking to apply to places in KCMO, in general

In KCMO, landlords are banned from:
• Putting things like “No vouchers,” “No felons,” or “No prior evictions” in their listings
• Rejecting a rental application purely because of the applicant’s legal source of income (like Section 8, vouchers, cash tipped wages, or SSI)
• Rejecting a rental application purely because of an eviction that happened more than 1 year ago
• Rejecting a rental application purely because of the applicant’s credit score
• Rejecting a rental application purely because of the existence of a prior criminal conviction
• Rejecting an application based on a rent-to-income ratio for base rent when the applicant is on a voucher
     • Example: If the base rent is $1000, and the applicant has a voucher that
       reduces their share to $300, the landlord couldn’t reject the applicant for not
       making 3x base rent ($3000/month)
     • But they COULD reject the applicant for not making 3x the reduced rent
       ($900/month)
• Increasing charges or treating the tenant worse because of any of the factors listed above
• Rejecting an applicant but refusing to disclose the reasons for their rejection
    ◦ If the applicant requests the reasons for the rejection, the law mandates that
      the landlord informs tenants of their rights under KCMO law, including this 
      source of income law

What isn’t banned?
• The ordinance was passed in Kansas City, MO, so it doesn’t cover any other municipalities (KCK, Raytown, Independence, etc)
• Landlords can still turn down applicants if they have multiple of the above things at once
    ◦ For example, if the applicant has a bad credit score AND an eviction that 
      happened more than 1 year ago, it’s legal to turn them down without any 
      further reasons
• Landlords can still turn down applicants purely based on an eviction on their record, if that eviction was less than 1 year ago
• Landlords can still turn down applicants based on evictions, credit history or criminal records, IF they also include a justification from the following list:
    ◦ “personal references, recency and status of any evictions, and any actions 
       taken by the rental applicant to resolve past evictions, credit challenges, or 
       alleged damages, the recency and severity of any convictions, the violent or 
       sexual nature of any prior convictions, the facts or circumstances 
       surrounding criminal conduct, the age of the applicant at the time of the 
       conduct, the age or vulnerability of the victim of the conduct, evidence that 
       the applicant has maintained a good tenant history in the intervening time, 
       and evidence of rehabilitation efforts,”
    ◦ So for example, a landlord would likely still be able to deny an applicant for:
        ▪ A shoplifting conviction that happened very recently
        ▪ A eviction that happened a while ago, but hasn’t been paid off
        ▪ An assault conviction that happened a long time ago (“violent or sexual 
              nature of any prior convictions”)

How can tenants report suspected discrimination?
• Call 311 (not 211!) and follow instruction provided to file a complaint…
• OR email the CREO (Civil Rights and Equal Opportunity) department…
• OR report in person at the CREO department at City Hall…
• OR file a “discrimination report” here: https://www.kcmo.gov/talk-to-us/mykcmo ","March 11, 2025","English, Spanish",
St. Mary’s Food Kitchen,Non-Profit,Food,,"Phone: 913-281-5638
Email: mailto:stmfoodkitchen@gmail.com",,"St. Mary’s Food Kitchen: Located in a community center with additional services (stop-gap food pantry, mail pickup, clothing, hygiene kits etc). They serve meals without taking information.
 645 Nebraska Ave, KC, Kansas",St. Mary's Food Kitchen serves lunch EVERY DAY 11:00 am - 12:30 pm 365 days a year including Holidays,"June 29, 2023",,
"Stanley Law, LLC",Legal Assistance,"Eviction/Illegal Lockout, Landlord Harassment, Unhealthy Living Conditions",Missouri Residents Only,"Online form (preferred): https://www.stanleylawllc.com/contact-us
Email: mailto:Jesistanley@Stanleylawllc.com
Call: (816) 267-6775",https://www.stanleylawllc.com/,"Stanley Law: This lawyer can help with landlord-tenant cases. Contact via the online form (preferred for a faster response time): https://www.stanleylawllc.com/contact-us
Or email: mailto:Jesistanley@stanleylawllc.com
Or call: (816) 267-6775","Private law firm that handles landlord-tenant cases including eviction prevention, habitability litigation, consumer protections for tenants, housing code violations, negligence and discrimination. If they are unable to assist a tenant, they will refer them to other legal organizations or provide free legal advice.

Cost: there is no upfront cost. Tenants only pay if they win or settle the case. If they win or settle, Stanley Law takes 33% of the total settlement. (Stanley Law will use part of this percentage to pay court costs.)

Region: Only Missouri cases. Cases closer to the KC metro are prioritized.

Turnaround time: Tenants should contact via the website for a faster response time. Tenants typically should hear back from Stanley Law within a week.",,,
Swope Behavioral Health,,,,816-922-1070,,"Behavioral Health Services 

816-922-1070",,,,
TANF - Temporary Assistance for Needy Families,Government-Run,,No Limit,"This program is different for each state check here for different states: https://www.acf.hhs.gov/ofa/map/about/help-families#MO_21815

Missouri: 
https://mydss.mo.gov/temporary-assistance/apply
(855) 373-4636
Kansas: 
https://www.dcfapp.kees.ks.gov/apspssp/sspNonMed.portal
(833) 765-2003",https://www.acf.hhs.gov/ofa/map/about/help-families,"TANF offers cash assistance for low income families with varying eligibility qualifications by state: 
Missouri:
https://mydss.mo.gov/temporary-assistance/apply
(855) 373-4636
Kansas: 
https://www.dcfapp.kees.ks.gov/apspssp/sspNonMed.portal
(833) 765-2003
Other State: https://www.acf.hhs.gov/ofa/map/about/help-families","TANF is a federal program ran by states that provides cash assistance for low-income families. Eligibility qualifications vary by state but usually include income and work requirements. 

Missouri: 
Brochure link: https://dssmanuals.mo.gov/wp-content/uploads/2022/01/temporary-assistance-brochure.pdf
You may be eligible for help if you are the parent or guardian of a child under age 18 (unless the child is in high school and expected to graduate before age 19) and you:
• Live in Missouri
• Do not own resources worth more than $1,000 (except your home and one vehicle)
• Do not make more than the current income limit
• Have (or agree to apply for) a Social Security Number for all members of your household
• Answer questions about illegal drug use and agree to take a drug test if required

Kansas: 
Additional Info: https://www.dcf.ks.gov/services/ees/pages/cash/tanf.aspx
To receive help from the Successful Families Program, a family must have the following:
1. Families must have at least one child in the home under the age of  18 (including an unborn baby).
2. Families must meet income requirements. Your worker will tell you what types of income you are required to report.
3. Families must meet limited resource requirements. Your worker will review what assets you have. Some resources are not counted, such as:
    ◦ the home in which the family lives
    ◦ assets valued at less than $2,500
    ◦ furniture, personal items, and some tools
","September 8, 2023",,
The Guadalupe Centers,Non-Profit,"Eviction/Illegal Lockout, Food, Houselessness, Immigration, Mental Health, Physical Health, Seeking Housing",KCMO Residents Only,"(816) 421-1015
mailto:barrio@guadalupecenters.org",https://guadalupecenters.org/our-community-programs/family-support-services/,"The Guadalupe Centers provide services ranging from eviction assistance and utility assistance to food pantries language interpretation assistance: https://guadalupecenters.org/our-community-programs/family-support-services/
(816) 421-1015
mailto:barrio@guadalupecenters.org","The Guadalupe Centers is a non-profit offering various services in KCMO, including their Family Support Services which intend to prevent houselessness and improve housing and economic security. Their aid focus is for Latine communities in Kansas City Missouri. 

The Guadalupe Centers offers services to meet short-term basic needs including the following:
• Utility assistance
• Rental eviction/mortgage foreclosures assistance
• Food pantry
• USDA Foods
• Personal hygiene products assistance
• Referrals for health care
• Referrals for legal assistance
• Transportation assistance
• Prescription assistance
• Language Interpretation assistance
• Seasonal assistance
• Information & Referral
• Job search assistance","March 11, 2025",,
